User_ID,Age,Gender,Country,Session_Duration,Pages_Visited,Product_Category,Purchase_Intent,Purchase_Amount,Device_Type,Signup_Date,Last_Login
U1000,34.0,male,India,8.712084315936405,4,Home Decor,Yes,884.3,mobile,2024-02-10,2024-12-28
U1001,60.0,FeMale,nan,4.350136371537776,7,nan,no,,Tablet,2023-06-09,2024-06-30
U1002,50.0,FEMALE,Canada,0.31035701517362746,2,Clothes,yes,1130.35,MOBILE,2024-04-22,2025-01-07
U1003,44.0,FEMALE,Canada,19.06393061530035,4,Electronics,No,0.0,MOBILE,,2024-09-22
U1004,24.0,FeMale,nan,6.173067150609011,5,Groceries,NO,,Mobile,2023-09-01,2024-11-23
U1005,24.0,male,India,-2.223124743619863,5,Home Decor,YES,724.85,mobile,2024-04-07,2025-04-04
U1006,20.0,Male,USA,18.108628836247714,1,Groceries,NO,0.0,mobile,2024-02-09,2025-04-07
U1007,56.0,Male,UK,34.94399613946233,5,Home Decor,NO,,Mobile,2022-08-01,2025-03-18
U1008,44.0,Female,Brazil,14.951432707680853,3,nan,NO,0.0,MOBILE,2024-02-10,2024-08-28
U1009,49.0,FEMALE,India,21.707926195613133,4,cloths,No,,Desktop,2024-03-09,2024-08-05
U1010,18.0,Female,UK,15.65463486838052,2,Books,Yes,1200.94,Tab,2022-08-19,2025-02-14
U1011,-1.0,Male,USA,14.208882774470858,5,nan,No,0.0,Desktop,2024-04-21,2025-05-19
U1012,55.0,Male,USA,22.352611863902148,8,Groceries,yes,904.38,MOBILE,2022-11-06,2025-01-23
U1013,27.0,Male,Germany,12.677803646490789,4,Groceries,YES,691.06,nan,2024-04-13,2025-03-15
U1014,26.0,male,Brazil,,9,Groceries,yes,963.0,mobile,2024-03-15,2024-10-21
U1015,26.0,FEMALE,Brazil,17.573582449568107,3,Books,nan,,Desktop,2023-12-16,2024-09-22
U1016,31.0,male,India,9.65527637085561,3,Electronics,Yes,1092.71,Tablet,2022-12-21,2024-08-05
U1017,41.0,male,Canada,22.936338796292183,0,Home Decor,NO,,Tablet,2023-12-25,2024-06-28
U1018,37.0,femle,USA,13.60032194643673,4,nan,NO,0.0,Mobile,2022-08-30,2025-05-19
U1019,31.0,male,India,8.954038724057241,4,nan,nan,0.0,MOBILE,2023-05-14,2024-09-18
U1020,45.0,male,Canada,19.292078748563227,1,cloths,nan,,MOBILE,2023-06-23,2025-04-08
U1021,24.0,Female,nan,7.812256145671702,3,Groceries,NO,0.0,Desktop,2022-10-03,2024-12-29
U1022,31.0,male,Canada,15.225449258953025,4,electronic,Yes,911.66,mobile,2023-04-27,2024-10-19
U1023,34.0,FEMALE,UK,14.927048026846371,7,nan,yes,1435.83,MOBILE,2023-01-12,2024-10-18
U1024,38.0,FeMale,Brazil,23.687164526652623,4,Books,Yes,1458.62,Desktop,2022-10-26,2024-09-11
U1025,53.0,femle,Brazil,18.79758586303962,3,Electronics,yes,975.69,Desktop,2024-05-26,2025-03-26
U1026,26.0,Male,India,14.799784330038849,1,nan,no,0.0,Tab,2023-05-19,2024-10-31
U1027,41.0,femle,Germany,21.542130393602296,5,Home Decor,No,0.0,Tab,2022-11-25,2024-11-09
U1028,44.0,male,USA,26.12166039213851,7,Books,NO,0.0,MOBILE,2023-03-19,2024-09-05
U1029,20.0,Male,USA,19.462482450814896,4,cloths,No,0.0,Desktop,2023-04-14,2024-09-04
U1030,45.0,male,UK,15.082820958747044,4,cloths,No,0.0,Mobile,2023-08-01,2024-06-17
U1031,25.0,nan,Germany,4.5053101411987235,1,Home Decor,No,,Mobile,2024-02-20,2025-01-02
U1032,20.0,male,India,,8,Groceries,yes,1116.88,Tab,2023-05-25,
U1033,60.0,male,USA,12.558202365162659,4,cloths,no,0.0,MOBILE,2023-01-11,2024-09-20
U1034,-1.0,FEMALE,Brazil,10.123902382725735,1,Electronics,no,0.0,mobile,2024-02-23,2024-07-08
U1035,54.0,Male,India,13.504229576116431,1,Books,Yes,333.87,nan,2022-10-09,2024-08-12
U1036,31.0,Male,Canada,15.453199399176857,2,nan,yes,1086.03,Mobile,2022-08-31,2025-01-12
U1037,22.0,Male,Germany,19.237542034853846,4,Electronics,yes,955.84,Mobile,2024-02-04,2025-04-23
U1038,48.0,Male,Germany,14.436009775527271,0,Groceries,No,,Tab,2024-03-17,2025-02-09
